t,Re<C_aa>,Im<C_aa>,|C_aa|,|C_aa|^2,Re<C_ab>,Im<C_ab>,|C_ab|,|C_ab|^2
1090.8,0.0293144999,0.0207726476,0.0359283007,0.00129084279,0.0039149683,0.00153762896,0.00420610028,1.76912796e-05
1094.4,-0.00282878049,-0.0340411261,0.0341584581,0.00116680026,0.00289915792,-0.004382747,0.00525486326,2.76135879e-05
1098,-0.0473242277,0.0221260649,0.052241222,0.00272914527,-0.00347431214,-0.00255250343,0.00431116209,1.85861186e-05
1101.6,0.0331160993,0.0637244438,0.0718156026,0.00515748077,-0.00221680608,0.00205816736,0.00302494331,9.15028206e-06
1105.2,0.077973737,-0.033584236,0.0848987901,0.00720780457,0.00225945389,0.000501603512,0.00231446278,5.35673795e-06
1108.8,-0.0277153662,-0.0851126765,0.0895115033,0.00801230923,-0.000693081488,-0.00280808867,0.00289235612,8.36572391e-06
1112.4,-0.0878072424,0.0235588806,0.0909127751,0.00826513268,-0.0035417203,-0.000292221473,0.00355375521,1.26291761e-05
1116,0.0213160243,0.0931612814,0.0955688089,0.00913339724,-0.000665297841,0.00350252425,0.0035651504,1.27102973e-05
1119.6,0.101588202,-0.0141151556,0.102564128,0.0105194003,0.0020545141,0.000550812247,0.00212706895,4.52442232e-06
1123.2,0.00189127852,-0.103668206,0.103685456,0.0107506739,-0.000510159217,-0.00130842586,0.00140436486,1.97224066e-06
1126.8,-0.0899604216,-0.0179676274,0.0917371958,0.00841571309,-0.00190736396,0.002666369,0.00327834729,1.07475609e-05
1130.4,-0.0217141675,0.0677056019,0.0711024163,0.0050555536,0.00273890735,0.00278232109,0.00390421876,1.52429241e-05
1134,0.0521473887,0.0161305649,0.0545852111,0.00297954527,0.00332074804,-0.00165347846,0.00370963052,1.37613586e-05
1137.6,0.0124518285,-0.0450904513,0.0467781662,0.00218819683,-0.00120621469,-0.00255591292,0.00282624216,7.98764474e-06
1141.2,-0.040287605,-0.0130575667,0.0423508107,0.00179359117,-0.00136169393,0.000888099771,0.00162570955,2.64293155e-06
1144.8,-0.0151774891,0.0341371616,0.037359095,0.00139570198,0.00187606881,0.00182262596,0.00261564515,6.84159957e-06
1148.4,0.0238440995,0.0147725694,0.0280494187,0.000786769888,0.00291096805,-0.00271137545,0.00397810154,1.58252919e-05
1152,0.00539806755,-0.0111057728,0.0123481709,0.000152477324,-0.0013666464,-0.00386129488,0.00409601276,1.67773205e-05
1155.6,-0.00368243213,0.014790496,0.0152420168,0.000232319077,-0.00386804071,0.000547621434,0.00390661339,1.52616282e-05
1159.2,0.0395141907,0.00812431858,0.0403407464,0.00162737582,-5.63499523e-05,0.00198393218,0.00198473228,3.93916223e-06
1162.8,0.0213874637,-0.0576257755,0.061466687,0.00377815361,0.00090116173,2.91873042e-05,0.000901634274,8.12944363e-07
1166.4,-0.0667683158,-0.0308073556,0.0735329936,0.00540710115,-0.0016444684,-0.000891843495,0.00187073812,3.49966112e-06
1170,-0.0325520542,0.0778685287,0.0843987203,0.00712314399,-0.00166973978,0.00167901981,0.00236793971,5.60713847e-06
1173.6,0.0929557885,0.0381472622,0.100478815,0.0100959922,0.000867454239,0.00272945088,0.00286397957,8.20237896e-06
1177.2,0.0521031853,-0.0989382974,0.111819178,0.0125035286,0.00172033214,-0.000520889889,0.00179746181,3.23086895e-06
1180.8,-0.0893279943,-0.0653632639,0.110688061,0.0122518468,-0.000521304593,4.60560064e-05,0.000523335108,2.73879635e-07
1184.4,-0.0704243641,0.0698820743,0.099212375,0.00984309536,0.000960834838,0.00219133256,0.00239272689,5.72514198e-06
1188,0.0494729195,0.0653826727,0.0819906315,0.00672246366,0.00376894918,-0.000763218058,0.00384544922,1.47874797e-05
1191.6,0.0535975872,-0.035808193,0.0644587313,0.00415492804,0.000793808903,-0.00327641444,0.00337120515,1.13650242e-05
1195.2,-0.0314540125,-0.0411949976,0.0518303264,0.00268638273,-0.00231733711,-0.00155599582,0.00279126751,7.7911743e-06
1198.8,-0.033589989,0.0329467334,0.0470507662,0.0022137746,-0.000451703358,0.0017274999,0.00178557885,3.18829183e-06
1202.4,0.0311439022,0.0329361711,0.045329174,0.00205473401,0.00204172776,-0.000237339632,0.00205547618,4.22498233e-06
1206,0.0306509543,-0.0198212565,0.0365015508,0.00133236321,-0.000258768137,-0.0039703315,0.00397875523,1.58304932e-05
1209.6,-0.00998261635,-0.0170236575,0.0197346787,0.000389457543,-0.00460951745,-0.000518367738,0.00463857265,2.15163562e-05
1213.2,-0.000410785445,0.01559438,0.0155997895,0.000243353432,-0.00222862981,0.00355434583,0.00419525507,1.76001651e-05
1216.8,0.0314907146,-0.00593283785,0.0320447136,0.00102686367,0.00232543044,0.00183105087,0.0029597929,8.760374e-06
1220.4,-0.00478098418,-0.045835294,0.0460839667,0.00212373199,0.00078339795,-0.000946719619,0.00122881666,1.50999039e-06
1224,-0.056539048,0.00545060944,0.0568011716,0.0032263731,-0.00148515334,-0.000186964796,0.0014968755,2.24063628e-06
1227.6,0.0106283035,0.0684005432,0.0692213489,0.00479159515,0.000441445291,0.0026554079,0.0026918516,7.24606504e-06
1231.2,0.0850469384,-0.015439898,0.0864370995,0.00747137217,0.00253532613,0.000753602962,0.00264495671,6.99579599e-06
1234.8,-0.0142045132,-0.103484012,0.104454339,0.010910709,0.00104788182,-0.00177109431,0.00205787059,4.23483136e-06
1238.4,-0.118431123,0.00635664106,0.118601593,0.0140663378,-0.000374118515,0.000476914237,0.000606145075,3.67411853e-07
1242,-0.00720506829,0.125128551,0.125335818,0.0157090673,0.00178177722,0.000104078749,0.0017848144,3.18556245e-06
1245.6,0.116916386,0.0206860067,0.118732271,0.0140973522,0.0013463291,-0.00307904135,0.00336052045,1.12930977e-05
1249.2,0.021526256,-0.096209073,0.0985878564,0.00971956542,-0.00260680799,-0.00237631203,0.00352736541,1.24423068e-05
1252.8,-0.0777990168,-0.00882447252,0.0782978821,0.00613055833,-0.00242105882,0.00120966181,0.00270643816,7.32480752e-06
1256.4,0.00396410048,0.0673118465,0.0674284715,0.00454659877,0.00159367182,0.00158656539,0.00224877291,5.05697962e-06
1260,0.0566235558,-0.0100696863,0.057511961,0.00330762565,0.000808131636,-0.00262655832,0.00274806939,7.55188535e-06
1263.6,-0.0154351135,-0.0401195746,0.0429863117,0.00184782299,-0.00354818529,-0.00126461873,0.0037668129,1.41888794e-05
1267.2,-0.022056546,0.0276902254,0.0354011271,0.0012532398,-0.00240378992,0.00393487466,0.0046110134,2.12614446e-05
1270.8,0.0459132107,0.010441891,0.0470856242,0.002217056,0.00230111037,0.00266656194,0.00352216716,1.24056615e-05
1274.4,0.00580121462,-0.0622232456,0.0624930907,0.00390538638,0.00210333069,-0.000718957198,0.00222281341,4.94089943e-06
1278,-0.0731790188,-0.00303615137,0.0732419757,0.00536438701,-0.000646164814,-0.000984930879,0.0011779719,1.3876178e-06
1281.6,-0.000837644871,0.0797048409,0.0797092424,0.00635356332,-0.000344808819,0.000976082551,0.00103519576,1.07163027e-06
1285.2,0.0825311303,-0.00177644734,0.0825502467,0.00681454323,0.00203196555,0.000998187899,0.00226390438,5.12526306e-06
1288.8,-0.00490375906,-0.0873411962,0.0874787483,0.0076525314,0.00161911202,-0.00188160201,0.00248232751,6.16194985e-06
1292.4,-0.0973246583,0.00141027474,0.0973348755,0.00947407799,-0.000225411769,-0.00155804908,0.00157427044,2.47832741e-06
1296,-0.0121723483,0.103816196,0.104527358,0.0109259686,-0.00039962977,-0.000198861948,0.000446374313,1.99250027e-07
1299.6,0.0978157381,0.0271526979,0.10151447,0.0103051876,0.000153604753,-0.00107279702,0.00108373791,1.17448787e-06
1303.2,0.0326181962,-0.0812274963,0.0875320106,0.00766185288,-0.00103818764,-0.00128740407,0.00165385696,2.73524283e-06
